Year,Settlement,Subdivision,Country,Notes
200,Mitla,Oaxaca,Mexico,
600,Cantona,Puebla,Mexico,
650,Cahokia,Illinois,United States,
874,Reykjavík,Capital Region,Iceland,First European settlement in the Americas. Founding is given as 874 CE by Ingólfr Arnarson in the Landnámabók. Reykjavík is located west of the Mid-Atlantic Ridge on the American plate.
985?,Eastern Settlement,Greenland,Denmark,"Norse explorer Erik the Red established this settlement, followed by the Western Settlement c. 985."
1000,L'Anse aux Meadows,Newfoundland and Labrador,Canada,First European settlement in the New World. Norse explorer Leif Ericson established a settlement on this site in 1003.
1050,Motul,Yucatán,Mexico,
1054,Antiguo Cuscatlan,La Libertad,El Salvador,
1100,Oraibi,Arizona,United States,
1144,Acoma Pueblo,New Mexico,United States,"Oldest continuously occupied community in the US,[citation needed] known today as Sky City"
1325,Tenochtitlan,Distrito Federal,Mexico,Present-day Mexico City
1450,Taos Pueblo,New Mexico,United States,One of the oldest continuously inhabited Native American settlements in the United States[citation needed]
1493,La Isabela,Puerto Plata,Dominican Republic,First European settlement in the New World during the Age of Discovery. Abandoned by 1500.
1494,Concepción de la Vega,La Vega,Dominican Republic,"Founded by Christopher Columbus in 1494 as a gold town, and abandoned by 1562 after an earthquake destroyed the settlement."
1496,Santo Domingo,Distrito Nacional,Dominican Republic,Oldest continuously inhabited European-established settlement in the Americas. Present-day capital of the Dominican Republic.
1497,St. John's,Newfoundland and Labrador,Canada,"Oldest English-founded city in North America, seasonal until c. 1630"
1508,Caparra,Puerto Rico,United States,
1509,Sevilla la Nueva,"Seville, St. Ann's Bay",Jamaica,"Established by Juan de Esquivel, the first Spanish governor of Jamaica, St Ann's Bay was the third capital established by Spain in the Americas."
1510,Nombre de Dios,Colón,Panama,Oldest continuously inhabited European-established settlement in Panama and the continental Americas
1511,Baracoa,Guantánamo,Cuba,"Oldest continuously inhabited European-established settlement in Cuba, and its former capital"
1513,Bayamo,Granma,Cuba,Capital of Cuba in 1513
1514,Santiago,Santiago,Cuba,
1515,Havana,Havana,Cuba,Present-day capital of Cuba
1519,La Villa Rica de la Vera Cruz,Veracruz,Mexico,Oldest continuously inhabited European-established settlement in Mexico
1519,Panama City,Panamá,Panama,First European city on the Pacific coast of the Americas
1521,San Juan,Puerto Rico,United States,Oldest continuously inhabited European-established settlement in the contiguous United States or U.S. territories
1524,Quetzaltenango,Guatemala,Guatemala,
1525,San Salvador,San Salvador Department,El Salvador,"Diego de Holguín became the first mayor of San Salvador after the town was founded on April 1, 1525. Founded on what is now the archaeological site of Ciudad Vieja, north of the present-day city, it was moved to the Valle de Las Hamacas (Acelhuate Valley)."
1524,Granada,Granada,Nicaragua,Oldest continuously inhabited European-established settlement in Nicaragua
1526,Acámbaro,Guanajuato,Mexico,
1526,San Miguel de Gualdape,"South Carolina, then Georgia",United States,"First European settlement in the contiguous U.S., abandoned after three months"
1531,Mazatlán,Sinaloa,Mexico,
1531,Puebla City,Puebla,Mexico,
1531,Culiacán,Sinaloa,Mexico,
1531,Querétaro City,Querétaro,Mexico,
1532,Oaxaca,Oaxaca,Mexico,
1534,Villa de la Vega,Saint Catherine Parish,Jamaica,"After founding Seville in 1509, Spanish settlers moved to a healthier site which they named Villa de la Vega. The English renamed it Spanish Town when they conquered the island in 1655."
1536,San Pedro Sula,Cortés,Honduras,
